WOJ	POW	GMI	RODZ	NAZWA	NAZWA_DOD	STAN_NA
2				DOLNOŒL¥SKIE	województwo	01.01.2021
2	1			boles³awiecki	powiat	01.01.2021
2	1	1	1	Boles³awiec	gmina miejska	01.01.2021
2	1	2	2	Boles³awiec	gmina wiejska	01.01.2021
2	1	3	2	Gromadka	gmina wiejska	01.01.2021
2	1	4	3	Nowogrodziec	gmina miejsko-wiejska	01.01.2021
2	1	4	4	Nowogrodziec	miasto	01.01.2021
2	1	4	5	Nowogrodziec	obszar wiejski	01.01.2021
2	1	5	2	Osiecznica	gmina wiejska	01.01.2021
2	1	6	2	Warta Boles³awiecka	gmina wiejska	01.01.2021
2	2			dzier¿oniowski	powiat	01.01.2021
2	2	1	1	Bielawa	gmina miejska	01.01.2021
2	2	2	1	Dzier¿oniów	gmina miejska	01.01.2021
2	2	3	3	Pieszyce	gmina miejsko-wiejska	01.01.2021
2	2	3	4	Pieszyce	miasto	01.01.2021
2	2	3	5	Pieszyce	obszar wiejski	01.01.2021
2	2	4	1	Pi³awa Górna	gmina miejska	01.01.2021
2	2	5	2	Dzier¿oniów	gmina wiejska	01.01.2021
2	2	6	2	£agiewniki	gmina wiejska	01.01.2021
2	2	7	3	Niemcza	gmina miejsko-wiejska	01.01.2021
2	2	7	4	Niemcza	miasto	01.01.2021
2	2	7	5	Niemcza	obszar wiejski	01.01.2021
2	3			g³ogowski	powiat	01.01.2021
2	3	1	1	G³ogów	gmina miejska	01.01.2021
2	3	2	2	G³ogów	gmina wiejska	01.01.2021
2	3	3	2	Jerzmanowa	gmina wiejska	01.01.2021
2	3	4	2	Kotla	gmina wiejska	01.01.2021
2	3	5	2	Pêc³aw	gmina wiejska	01.01.2021
2	3	6	2	¯ukowice	gmina wiejska	01.01.2021
2	4			górowski	powiat	01.01.2021
2	4	1	3	Góra	gmina miejsko-wiejska	01.01.2021
2	4	1	4	Góra	miasto	01.01.2021
2	4	1	5	Góra	obszar wiejski	01.01.2021
2	4	2	2	Jemielno	gmina wiejska	01.01.2021
2	4	3	2	Niechlów	gmina wiejska	01.01.2021
2	4	4	3	W¹sosz	gmina miejsko-wiejska	01.01.2021
2	4	4	4	W¹sosz	miasto	01.01.2021
2	4	4	5	W¹sosz	obszar wiejski	01.01.2021
2	5			jaworski	powiat	01.01.2021
2	5	1	1	Jawor	gmina miejska	01.01.2021
2	5	2	3	Bolków	gmina miejsko-wiejska	01.01.2021
2	5	2	4	Bolków	miasto	01.01.2021
2	5	2	5	Bolków	obszar wiejski	01.01.2021
2	5	3	2	Mêcinka	gmina wiejska	01.01.2021
2	5	4	2	Mœciwojów	gmina wiejska	01.01.2021
2	5	5	2	Paszowice	gmina wiejska	01.01.2021
2	5	6	2	W¹dro¿e Wielkie	gmina wiejska	01.01.2021
2	6			karkonoski	powiat	01.01.2021
2	6	1	1	Karpacz	gmina miejska	01.01.2021
2	6	2	1	Kowary	gmina miejska	01.01.2021
2	6	3	1	Piechowice	gmina miejska	01.01.2021
2	6	4	1	Szklarska Porêba	gmina miejska	01.01.2021
2	6	5	2	Janowice Wielkie	gmina wiejska	01.01.2021
2	6	6	2	Je¿ów Sudecki	gmina wiejska	01.01.2021
2	6	7	2	Mys³akowice	gmina wiejska	01.01.2021
2	6	8	2	Podgórzyn	gmina wiejska	01.01.2021
2	6	9	2	Stara Kamienica	gmina wiejska	01.01.2021
2	7			kamiennogórski	powiat	01.01.2021
2	7	1	1	Kamienna Góra	gmina miejska	01.01.2021
2	7	2	2	Kamienna Góra	gmina wiejska	01.01.2021
2	7	3	3	Lubawka	gmina miejsko-wiejska	01.01.2021
2	7	3	4	Lubawka	miasto	01.01.2021
2	7	3	5	Lubawka	obszar wiejski	01.01.2021
2	7	4	2	Marciszów	gmina wiejska	01.01.2021
2	8			k³odzki	powiat	01.01.2021
2	8	1	1	Duszniki-Zdrój	gmina miejska	01.01.2021
2	8	2	1	K³odzko	gmina miejska	01.01.2021
2	8	3	1	Kudowa-Zdrój	gmina miejska	01.01.2021
2	8	4	1	Nowa Ruda	gmina miejska	01.01.2021
2	8	5	1	Polanica-Zdrój	gmina miejska	01.01.2021
2	8	6	3	Bystrzyca K³odzka	gmina miejsko-wiejska	01.01.2021
2	8	6	4	Bystrzyca K³odzka	miasto	01.01.2021
2	8	6	5	Bystrzyca K³odzka	obszar wiejski	01.01.2021
2	8	7	2	K³odzko	gmina wiejska	01.01.2021
2	8	8	3	L¹dek-Zdrój	gmina miejsko-wiejska	01.01.2021
2	8	8	4	L¹dek-Zdrój	miasto	01.01.2021
2	8	8	5	L¹dek-Zdrój	obszar wiejski	01.01.2021
2	8	9	2	Lewin K³odzki	gmina wiejska	01.01.2021
2	8	10	3	Miêdzylesie	gmina miejsko-wiejska	01.01.2021
2	8	10	4	Miêdzylesie	miasto	01.01.2021
2	8	10	5	Miêdzylesie	obszar wiejski	01.01.2021
2	8	11	2	Nowa Ruda	gmina wiejska	01.01.2021
2	8	12	3	Radków	gmina miejsko-wiejska	01.01.2021
2	8	12	4	Radków	miasto	01.01.2021
2	8	12	5	Radków	obszar wiejski	01.01.2021
2	8	13	3	Stronie Œl¹skie	gmina miejsko-wiejska	01.01.2021
2	8	13	4	Stronie Œl¹skie	miasto	01.01.2021
2	8	13	5	Stronie Œl¹skie	obszar wiejski	01.01.2021
2	8	14	3	Szczytna	gmina miejsko-wiejska	01.01.2021
2	8	14	4	Szczytna	miasto	01.01.2021
2	8	14	5	Szczytna	obszar wiejski	01.01.2021
2	9			legnicki	powiat	01.01.2021
2	9	1	1	Chojnów	gmina miejska	01.01.2021
2	9	2	2	Chojnów	gmina wiejska	01.01.2021
2	9	3	2	Krotoszyce	gmina wiejska	01.01.2021
2	9	4	2	Kunice	gmina wiejska	01.01.2021
2	9	5	2	Legnickie Pole	gmina wiejska	01.01.2021
2	9	6	2	Mi³kowice	gmina wiejska	01.01.2021
2	9	7	3	Prochowice	gmina miejsko-wiejska	01.01.2021
2	9	7	4	Prochowice	miasto	01.01.2021
2	9	7	5	Prochowice	obszar wiejski	01.01.2021
2	9	8	2	Ruja	gmina wiejska	01.01.2021
2	10			lubañski	powiat	01.01.2021
2	10	1	1	Lubañ	gmina miejska	01.01.2021
2	10	2	1	Œwieradów-Zdrój	gmina miejska	01.01.2021
2	10	3	3	Leœna	gmina miejsko-wiejska	01.01.2021
2	10	3	4	Leœna	miasto	01.01.2021
2	10	3	5	Leœna	obszar wiejski	01.01.2021
2	10	4	2	Lubañ	gmina wiejska	01.01.2021
2	10	5	3	Olszyna	gmina miejsko-wiejska	01.01.2021
2	10	5	4	Olszyna	miasto	01.01.2021
2	10	5	5	Olszyna	obszar wiejski	01.01.2021
2	10	6	2	Platerówka	gmina wiejska	01.01.2021
2	10	7	2	Siekierczyn	gmina wiejska	01.01.2021
2	11			lubiñski	powiat	01.01.2021
2	11	1	1	Lubin	gmina miejska	01.01.2021
2	11	2	2	Lubin	gmina wiejska	01.01.2021
2	11	3	2	Rudna	gmina wiejska	01.01.2021
2	11	4	3	Œcinawa	gmina miejsko-wiejska	01.01.2021
2	11	4	4	Œcinawa	miasto	01.01.2021
2	11	4	5	Œcinawa	obszar wiejski	01.01.2021
2	12			lwówecki	powiat	01.01.2021
2	12	1	3	Gryfów Œl¹ski	gmina miejsko-wiejska	01.01.2021
2	12	1	4	Gryfów Œl¹ski	miasto	01.01.2021
2	12	1	5	Gryfów Œl¹ski	obszar wiejski	01.01.2021
2	12	2	3	Lubomierz	gmina miejsko-wiejska	01.01.2021
2	12	2	4	Lubomierz	miasto	01.01.2021
2	12	2	5	Lubomierz	obszar wiejski	01.01.2021
2	12	3	3	Lwówek Œl¹ski	gmina miejsko-wiejska	01.01.2021
2	12	3	4	Lwówek Œl¹ski	miasto	01.01.2021
2	12	3	5	Lwówek Œl¹ski	obszar wiejski	01.01.2021
2	12	4	3	Mirsk	gmina miejsko-wiejska	01.01.2021
2	12	4	4	Mirsk	miasto	01.01.2021
2	12	4	5	Mirsk	obszar wiejski	01.01.2021
2	12	5	3	Wleñ	gmina miejsko-wiejska	01.01.2021
2	12	5	4	Wleñ	miasto	01.01.2021
2	12	5	5	Wleñ	obszar wiejski	01.01.2021
2	13			milicki	powiat	01.01.2021
2	13	1	2	Cieszków	gmina wiejska	01.01.2021
2	13	2	2	Kroœnice	gmina wiejska	01.01.2021
2	13	3	3	Milicz	gmina miejsko-wiejska	01.01.2021
2	13	3	4	Milicz	miasto	01.01.2021
2	13	3	5	Milicz	obszar wiejski	01.01.2021
2	14			oleœnicki	powiat	01.01.2021
2	14	1	1	Oleœnica	gmina miejska	01.01.2021
2	14	2	3	Bierutów	gmina miejsko-wiejska	01.01.2021
2	14	2	4	Bierutów	miasto	01.01.2021
2	14	2	5	Bierutów	obszar wiejski	01.01.2021
2	14	3	2	Dobroszyce	gmina wiejska	01.01.2021
2	14	4	2	Dziadowa K³oda	gmina wiejska	01.01.2021
2	14	5	3	Miêdzybórz	gmina miejsko-wiejska	01.01.2021
2	14	5	4	Miêdzybórz	miasto	01.01.2021
2	14	5	5	Miêdzybórz	obszar wiejski	01.01.2021
2	14	6	2	Oleœnica	gmina wiejska	01.01.2021
2	14	7	3	Syców	gmina miejsko-wiejska	01.01.2021
2	14	7	4	Syców	miasto	01.01.2021
2	14	7	5	Syców	obszar wiejski	01.01.2021
2	14	8	3	Twardogóra	gmina miejsko-wiejska	01.01.2021
2	14	8	4	Twardogóra	miasto	01.01.2021
2	14	8	5	Twardogóra	obszar wiejski	01.01.2021
2	15			o³awski	powiat	01.01.2021
2	15	1	1	O³awa	gmina miejska	01.01.2021
2	15	2	2	Domaniów	gmina wiejska	01.01.2021
2	15	3	3	Jelcz-Laskowice	gmina miejsko-wiejska	01.01.2021
2	15	3	4	Jelcz-Laskowice	miasto	01.01.2021
2	15	3	5	Jelcz-Laskowice	obszar wiejski	01.01.2021
2	15	4	2	O³awa	gmina wiejska	01.01.2021
2	16			polkowicki	powiat	01.01.2021
2	16	1	3	Chocianów	gmina miejsko-wiejska	01.01.2021
2	16	1	4	Chocianów	miasto	01.01.2021
2	16	1	5	Chocianów	obszar wiejski	01.01.2021
2	16	2	2	Gaworzyce	gmina wiejska	01.01.2021
2	16	3	2	Grêbocice	gmina wiejska	01.01.2021
2	16	4	3	Polkowice	gmina miejsko-wiejska	01.01.2021
2	16	4	4	Polkowice	miasto	01.01.2021
2	16	4	5	Polkowice	obszar wiejski	01.01.2021
2	16	5	3	Przemków	gmina miejsko-wiejska	01.01.2021
2	16	5	4	Przemków	miasto	01.01.2021
2	16	5	5	Przemków	obszar wiejski	01.01.2021
2	16	6	2	Radwanice	gmina wiejska	01.01.2021
2	17			strzeliñski	powiat	01.01.2021
2	17	1	2	Borów	gmina wiejska	01.01.2021
2	17	2	2	Kondratowice	gmina wiejska	01.01.2021
2	17	3	2	Przeworno	gmina wiejska	01.01.2021
2	17	4	3	Strzelin	gmina miejsko-wiejska	01.01.2021
2	17	4	4	Strzelin	miasto	01.01.2021
2	17	4	5	Strzelin	obszar wiejski	01.01.2021
2	17	5	3	Wi¹zów	gmina miejsko-wiejska	01.01.2021
2	17	5	4	Wi¹zów	miasto	01.01.2021
2	17	5	5	Wi¹zów	obszar wiejski	01.01.2021
2	18			œredzki	powiat	01.01.2021
2	18	1	2	Kostom³oty	gmina wiejska	01.01.2021
2	18	2	2	Malczyce	gmina wiejska	01.01.2021
2	18	3	2	Miêkinia	gmina wiejska	01.01.2021
2	18	4	3	Œroda Œl¹ska	gmina miejsko-wiejska	01.01.2021
2	18	4	4	Œroda Œl¹ska	miasto	01.01.2021
2	18	4	5	Œroda Œl¹ska	obszar wiejski	01.01.2021
2	18	5	2	Udanin	gmina wiejska	01.01.2021
2	19			œwidnicki	powiat	01.01.2021
2	19	1	1	Œwidnica	gmina miejska	01.01.2021
2	19	2	1	Œwiebodzice	gmina miejska	01.01.2021
2	19	3	2	Dobromierz	gmina wiejska	01.01.2021
2	19	4	3	Jaworzyna Œl¹ska	gmina miejsko-wiejska	01.01.2021
2	19	4	4	Jaworzyna Œl¹ska	miasto	01.01.2021
2	19	4	5	Jaworzyna Œl¹ska	obszar wiejski	01.01.2021
2	19	5	2	Marcinowice	gmina wiejska	01.01.2021
2	19	6	3	Strzegom	gmina miejsko-wiejska	01.01.2021
2	19	6	4	Strzegom	miasto	01.01.2021
2	19	6	5	Strzegom	obszar wiejski	01.01.2021
2	19	7	2	Œwidnica	gmina wiejska	01.01.2021
2	19	8	3	¯arów	gmina miejsko-wiejska	01.01.2021
2	19	8	4	¯arów	miasto	01.01.2021
2	19	8	5	¯arów	obszar wiejski	01.01.2021
2	20			trzebnicki	powiat	01.01.2021
2	20	1	3	Oborniki Œl¹skie	gmina miejsko-wiejska	01.01.2021
2	20	1	4	Oborniki Œl¹skie	miasto	01.01.2021
2	20	1	5	Oborniki Œl¹skie	obszar wiejski	01.01.2021
2	20	2	3	Prusice	gmina miejsko-wiejska	01.01.2021
2	20	2	4	Prusice	miasto	01.01.2021
2	20	2	5	Prusice	obszar wiejski	01.01.2021
2	20	3	3	Trzebnica	gmina miejsko-wiejska	01.01.2021
2	20	3	4	Trzebnica	miasto	01.01.2021
2	20	3	5	Trzebnica	obszar wiejski	01.01.2021
2	20	4	2	Wisznia Ma³a	gmina wiejska	01.01.2021
2	20	5	2	Zawonia	gmina wiejska	01.01.2021
2	20	6	3	¯migród	gmina miejsko-wiejska	01.01.2021
2	20	6	4	¯migród	miasto	01.01.2021
2	20	6	5	¯migród	obszar wiejski	01.01.2021
2	21			wa³brzyski	powiat	01.01.2021
2	21	1	1	Boguszów-Gorce	gmina miejska	01.01.2021
2	21	2	1	Jedlina-Zdrój	gmina miejska	01.01.2021
2	21	3	1	Szczawno-Zdrój	gmina miejska	01.01.2021
2	21	4	2	Czarny Bór	gmina wiejska	01.01.2021
2	21	5	3	G³uszyca	gmina miejsko-wiejska	01.01.2021
2	21	5	4	G³uszyca	miasto	01.01.2021
2	21	5	5	G³uszyca	obszar wiejski	01.01.2021
2	21	6	3	Mieroszów	gmina miejsko-wiejska	01.01.2021
2	21	6	4	Mieroszów	miasto	01.01.2021
2	21	6	5	Mieroszów	obszar wiejski	01.01.2021
2	21	7	2	Stare Bogaczowice	gmina wiejska	01.01.2021
2	21	8	2	Walim	gmina wiejska	01.01.2021
2	22			wo³owski	powiat	01.01.2021
2	22	1	3	Brzeg Dolny	gmina miejsko-wiejska	01.01.2021
2	22	1	4	Brzeg Dolny	miasto	01.01.2021
2	22	1	5	Brzeg Dolny	obszar wiejski	01.01.2021
2	22	2	2	Wiñsko	gmina wiejska	01.01.2021
2	22	3	3	Wo³ów	gmina miejsko-wiejska	01.01.2021
2	22	3	4	Wo³ów	miasto	01.01.2021
2	22	3	5	Wo³ów	obszar wiejski	01.01.2021
2	23			wroc³awski	powiat	01.01.2021
2	23	1	2	Czernica	gmina wiejska	01.01.2021
2	23	2	2	D³ugo³êka	gmina wiejska	01.01.2021
2	23	3	2	Jordanów Œl¹ski	gmina wiejska	01.01.2021
2	23	4	3	K¹ty Wroc³awskie	gmina miejsko-wiejska	01.01.2021
2	23	4	4	K¹ty Wroc³awskie	miasto	01.01.2021
2	23	4	5	K¹ty Wroc³awskie	obszar wiejski	01.01.2021
2	23	5	2	Kobierzyce	gmina wiejska	01.01.2021
2	23	6	2	Mietków	gmina wiejska	01.01.2021
2	23	7	3	Sobótka	gmina miejsko-wiejska	01.01.2021
2	23	7	4	Sobótka	miasto	01.01.2021
2	23	7	5	Sobótka	obszar wiejski	01.01.2021
2	23	8	3	Siechnice	gmina miejsko-wiejska	01.01.2021
2	23	8	4	Siechnice	miasto	01.01.2021
2	23	8	5	Siechnice	obszar wiejski	01.01.2021
2	23	9	2	¯órawina	gmina wiejska	01.01.2021
2	24			z¹bkowicki	powiat	01.01.2021
2	24	1	3	Bardo	gmina miejsko-wiejska	01.01.2021
2	24	1	4	Bardo	miasto	01.01.2021
2	24	1	5	Bardo	obszar wiejski	01.01.2021
2	24	2	2	Ciep³owody	gmina wiejska	01.01.2021
2	24	3	3	Kamieniec Z¹bkowicki	gmina miejsko-wiejska	01.01.2021
2	24	3	4	Kamieniec Z¹bkowicki	miasto	01.01.2021
2	24	3	5	Kamieniec Z¹bkowicki	obszar wiejski	01.01.2021
2	24	4	2	Stoszowice	gmina wiejska	01.01.2021
2	24	5	3	Z¹bkowice Œl¹skie	gmina miejsko-wiejska	01.01.2021
2	24	5	4	Z¹bkowice Œl¹skie	miasto	01.01.2021
2	24	5	5	Z¹bkowice Œl¹skie	obszar wiejski	01.01.2021
2	24	6	3	Ziêbice	gmina miejsko-wiejska	01.01.2021
2	24	6	4	Ziêbice	miasto	01.01.2021
2	24	6	5	Ziêbice	obszar wiejski	01.01.2021
2	24	7	3	Z³oty Stok	gmina miejsko-wiejska	01.01.2021
2	24	7	4	Z³oty Stok	miasto	01.01.2021
2	24	7	5	Z³oty Stok	obszar wiejski	01.01.2021
2	25			zgorzelecki	powiat	01.01.2021
2	25	1	1	Zawidów	gmina miejska	01.01.2021
2	25	2	1	Zgorzelec	gmina miejska	01.01.2021
2	25	3	3	Bogatynia	gmina miejsko-wiejska	01.01.2021
2	25	3	4	Bogatynia	miasto	01.01.2021
2	25	3	5	Bogatynia	obszar wiejski	01.01.2021
2	25	4	3	Pieñsk	gmina miejsko-wiejska	01.01.2021
2	25	4	4	Pieñsk	miasto	01.01.2021
2	25	4	5	Pieñsk	obszar wiejski	01.01.2021
2	25	5	2	Sulików	gmina wiejska	01.01.2021
2	25	6	3	Wêgliniec	gmina miejsko-wiejska	01.01.2021
2	25	6	4	Wêgliniec	miasto	01.01.2021
2	25	6	5	Wêgliniec	obszar wiejski	01.01.2021
2	25	7	2	Zgorzelec	gmina wiejska	01.01.2021
2	26			z³otoryjski	powiat	01.01.2021
2	26	1	1	Wojcieszów	gmina miejska	01.01.2021
2	26	2	1	Z³otoryja	gmina miejska	01.01.2021
2	26	3	2	Pielgrzymka	gmina wiejska	01.01.2021
2	26	4	3	Œwierzawa	gmina miejsko-wiejska	01.01.2021
2	26	4	4	Œwierzawa	miasto	01.01.2021
2	26	4	5	Œwierzawa	obszar wiejski	01.01.2021
2	26	5	2	Zagrodno	gmina wiejska	01.01.2021
2	26	6	2	Z³otoryja	gmina wiejska	01.01.2021
2	61			Jelenia Góra	miasto na prawach powiatu	01.01.2021
2	61	1	1	Jelenia Góra	gmina miejska	01.01.2021
2	62			Legnica	miasto na prawach powiatu	01.01.2021
2	62	1	1	Legnica	gmina miejska	01.01.2021
2	64			Wroc³aw	miasto na prawach powiatu	01.01.2021
2	64	1	1	Wroc³aw	gmina miejska	01.01.2021
2	64	2	9	Wroc³aw-Fabryczna	delegatura	01.01.2021
2	64	3	9	Wroc³aw-Krzyki	delegatura	01.01.2021
2	64	4	9	Wroc³aw-Psie Pole	delegatura	01.01.2021
2	64	5	9	Wroc³aw-Stare Miasto	delegatura	01.01.2021
2	64	6	9	Wroc³aw-Œródmieœcie	delegatura	01.01.2021
2	65			Wa³brzych	miasto na prawach powiatu	01.01.2021
2	65	1	1	Wa³brzych	gmina miejska	01.01.2021
4				KUJAWSKO-POMORSKIE	województwo	01.01.2021
4	1			aleksandrowski	powiat	01.01.2021
4	1	1	1	Aleksandrów Kujawski	gmina miejska	01.01.2021
4	1	2	1	Ciechocinek	gmina miejska	01.01.2021
4	1	3	1	Nieszawa	gmina miejska	01.01.2021
4	1	4	2	Aleksandrów Kujawski	gmina wiejska	01.01.2021
4	1	5	2	B¹dkowo	gmina wiejska	01.01.2021
4	1	6	2	Koneck	gmina wiejska	01.01.2021
4	1	7	2	Raci¹¿ek	gmina wiejska	01.01.2021
4	1	8	2	Waganiec	gmina wiejska	01.01.2021
4	1	9	2	Zakrzewo	gmina wiejska	01.01.2021
4	2			brodnicki	powiat	01.01.2021
4	2	1	1	Brodnica	gmina miejska	01.01.2021
4	2	2	2	Bobrowo	gmina wiejska	01.01.2021
4	2	3	2	Brodnica	gmina wiejska	01.01.2021
4	2	4	2	Brzozie	gmina wiejska	01.01.2021
4	2	5	3	Górzno	gmina miejsko-wiejska	01.01.2021
4	2	5	4	Górzno	miasto	01.01.2021
4	2	5	5	Górzno	obszar wiejski	01.01.2021
4	2	6	2	Bartniczka	gmina wiejska	01.01.2021
4	2	7	3	Jab³onowo Pomorskie	gmina miejsko-wiejska	01.01.2021
4	2	7	4	Jab³onowo Pomorskie	miasto	01.01.2021
4	2	7	5	Jab³onowo Pomorskie	obszar wiejski	01.01.2021
4	2	8	2	Osiek	gmina wiejska	01.01.2021
4	2	9	2	Œwiedziebnia	gmina wiejska	01.01.2021
4	2	10	2	Zbiczno	gmina wiejska	01.01.2021
4	3			bydgoski	powiat	01.01.2021
4	3	1	2	Bia³e B³ota	gmina wiejska	01.01.2021
4	3	2	2	D¹browa Che³miñska	gmina wiejska	01.01.2021
4	3	3	2	Dobrcz	gmina wiejska	01.01.2021
4	3	4	3	Koronowo	gmina miejsko-wiejska	01.01.2021
4	3	4	4	Koronowo	miasto	01.01.2021
4	3	4	5	Koronowo	obszar wiejski	01.01.2021
4	3	5	2	Nowa Wieœ Wielka	gmina wiejska	01.01.2021
4	3	6	2	Osielsko	gmina wiejska	01.01.2021
4	3	7	2	Sicienko	gmina wiejska	01.01.2021
4	3	8	3	Solec Kujawski	gmina miejsko-wiejska	01.01.2021
4	3	8	4	Solec Kujawski	miasto	01.01.2021
4	3	8	5	Solec Kujawski	obszar wiejski	01.01.2021
4	4			che³miñski	powiat	01.01.2021
4	4	1	1	Che³mno	gmina miejska	01.01.2021
4	4	2	2	Che³mno	gmina wiejska	01.01.2021
4	4	3	2	Kijewo Królewskie	gmina wiejska	01.01.2021
4	4	4	2	Lisewo	gmina wiejska	01.01.2021
4	4	5	2	Papowo Biskupie	gmina wiejska	01.01.2021
4	4	6	2	Stolno	gmina wiejska	01.01.2021
4	4	7	2	Unis³aw	gmina wiejska	01.01.2021
4	5			golubsko-dobrzyñski	powiat	01.01.2021
4	5	1	1	Golub-Dobrzyñ	gmina miejska	01.01.2021
4	5	2	2	Ciechocin	gmina wiejska	01.01.2021
4	5	3	2	Golub-Dobrzyñ	gmina wiejska	01.01.2021
4	5	4	3	Kowalewo Pomorskie	gmina miejsko-wiejska	01.01.2021
4	5	4	4	Kowalewo Pomorskie	miasto	01.01.2021
4	5	4	5	Kowalewo Pomorskie	obszar wiejski	01.01.2021
4	5	5	2	Radomin	gmina wiejska	01.01.2021
4	5	6	2	Zbójno	gmina wiejska	01.01.2021
4	6			grudzi¹dzki	powiat	01.01.2021
4	6	1	2	Grudzi¹dz	gmina wiejska	01.01.2021
4	6	2	2	Gruta	gmina wiejska	01.01.2021
4	6	3	3	£asin	gmina miejsko-wiejska	01.01.2021
4	6	3	4	£asin	miasto	01.01.2021
4	6	3	5	£asin	obszar wiejski	01.01.2021
4	6	4	3	Radzyñ Che³miñski	gmina miejsko-wiejska	01.01.2021
4	6	4	4	Radzyñ Che³miñski	miasto	01.01.2021
4	6	4	5	Radzyñ Che³miñski	obszar wiejski	01.01.2021
4	6	5	2	RogóŸno	gmina wiejska	01.01.2021
4	6	6	2	Œwiecie nad Os¹	gmina wiejska	01.01.2021
4	7			inowroc³awski	powiat	01.01.2021
4	7	1	1	Inowroc³aw	gmina miejska	01.01.2021
4	7	2	2	D¹browa Biskupia	gmina wiejska	01.01.2021
4	7	3	3	Gniewkowo	gmina miejsko-wiejska	01.01.2021
4	7	3	4	Gniewkowo	miasto	01.01.2021
4	7	3	5	Gniewkowo	obszar wiejski	01.01.2021
4	7	4	2	Inowroc³aw	gmina wiejska	01.01.2021
4	7	5	3	Janikowo	gmina miejsko-wiejska	01.01.2021
4	7	5	4	Janikowo	miasto	01.01.2021
4	7	5	5	Janikowo	obszar wiejski	01.01.2021
4	7	6	3	Kruszwica	gmina miejsko-wiejska	01.01.2021
4	7	6	4	Kruszwica	miasto	01.01.2021
4	7	6	5	Kruszwica	obszar wiejski	01.01.2021
4	7	7	3	Pakoœæ	gmina miejsko-wiejska	01.01.2021
4	7	7	4	Pakoœæ	miasto	01.01.2021
4	7	7	5	Pakoœæ	obszar wiejski	01.01.2021
4	7	8	2	Rojewo	gmina wiejska	01.01.2021
4	7	9	2	Z³otniki Kujawskie	gmina wiejska	01.01.2021
4	8			lipnowski	powiat	01.01.2021
4	8	1	1	Lipno	gmina miejska	01.01.2021
4	8	2	2	Bobrowniki	gmina wiejska	01.01.2021
4	8	3	2	Chrostkowo	gmina wiejska	01.01.2021
4	8	4	3	Dobrzyñ nad Wis³¹	gmina miejsko-wiejska	01.01.2021
4	8	4	4	Dobrzyñ nad Wis³¹	miasto	01.01.2021
4	8	4	5	Dobrzyñ nad Wis³¹	obszar wiejski	01.01.2021
4	8	5	2	Kikó³	gmina wiejska	01.01.2021
4	8	6	2	Lipno	gmina wiejska	01.01.2021
4	8	7	3	Skêpe	gmina miejsko-wiejska	01.01.2021
4	8	7	4	Skêpe	miasto	01.01.2021
4	8	7	5	Skêpe	obszar wiejski	01.01.2021
4	8	8	2	T³uchowo	gmina wiejska	01.01.2021
4	8	9	2	Wielgie	gmina wiejska	01.01.2021
4	9			mogileñski	powiat	01.01.2021
4	9	1	2	D¹browa	gmina wiejska	01.01.2021
4	9	2	2	Jeziora Wielkie	gmina wiejska	01.01.2021
4	9	3	3	Mogilno	gmina miejsko-wiejska	01.01.2021
4	9	3	4	Mogilno	miasto	01.01.2021
4	9	3	5	Mogilno	obszar wiejski	01.01.2021
4	9	4	3	Strzelno	gmina miejsko-wiejska	01.01.2021
4	9	4	4	Strzelno	miasto	01.01.2021
4	9	4	5	Strzelno	obszar wiejski	01.01.2021
4	10			nakielski	powiat	01.01.2021
4	10	1	3	Kcynia	gmina miejsko-wiejska	01.01.2021
4	10	1	4	Kcynia	miasto	01.01.2021
4	10	1	5	Kcynia	obszar wiejski	01.01.2021
4	10	2	3	Mrocza	gmina miejsko-wiejska	01.01.2021
4	10	2	4	Mrocza	miasto	01.01.2021
4	10	2	5	Mrocza	obszar wiejski	01.01.2021
4	10	3	3	Nak³o nad Noteci¹	gmina miejsko-wiejska	01.01.2021
4	10	3	4	Nak³o nad Noteci¹	miasto	01.01.2021
4	10	3	5	Nak³o nad Noteci¹	obszar wiejski	01.01.2021
4	10	4	2	Sadki	gmina wiejska	01.01.2021
4	10	5	3	Szubin	gmina miejsko-wiejska	01.01.2021
4	10	5	4	Szubin	miasto	01.01.2021
4	10	5	5	Szubin	obszar wiejski	01.01.2021
4	11			radziejowski	powiat	01.01.2021
4	11	1	1	Radziejów	gmina miejska	01.01.2021
4	11	2	2	Bytoñ	gmina wiejska	01.01.2021
4	11	3	2	Dobre	gmina wiejska	01.01.2021
4	11	4	2	Osiêciny	gmina wiejska	01.01.2021
4	11	5	3	Piotrków Kujawski	gmina miejsko-wiejska	01.01.2021
4	11	5	4	Piotrków Kujawski	miasto	01.01.2021
4	11	5	5	Piotrków Kujawski	obszar wiejski	01.01.2021
4	11	6	2	Radziejów	gmina wiejska	01.01.2021
4	11	7	2	Topólka	gmina wiejska	01.01.2021
4	12			rypiñski	powiat	01.01.2021
4	12	1	1	Rypin	gmina miejska	01.01.2021
4	12	2	2	Brzuze	gmina wiejska	01.01.2021
4	12	3	2	Rogowo	gmina wiejska	01.01.2021
4	12	4	2	Rypin	gmina wiejska	01.01.2021
4	12	5	2	Skrwilno	gmina wiejska	01.01.2021
4	12	6	2	W¹pielsk	gmina wiejska	01.01.2021
4	13			sêpoleñski	powiat	01.01.2021
4	13	1	3	Kamieñ Krajeñski	gmina miejsko-wiejska	01.01.2021
4	13	1	4	Kamieñ Krajeñski	miasto	01.01.2021
