PNA,CITY,ADRESS,WOJ,CONCAT,CONCAT_LONG,MUN_COU,ADRESS_2
42-504, Będzin (Łagisza),karola świerczewskiego 104-123 będzin będziński,śląskie,będzin będziński,,będzin będziński,karola świerczewskiego 104-123 
42-504, Będzin (Łagisza),świerkowa będzin będziński,śląskie,będzin będziński,,będzin będziński,świerkowa 
42-500, Będzin (Warpie),świętego brata alberta będzin będziński,śląskie,będzin będziński,,będzin będziński,świętego brata alberta 
42-506, Będzin (Grodziec),wiśniowa będzin będziński,śląskie,będzin będziński,,będzin będziński,wiśniowa 
42-500, Będzin,władysława jagiełły będzin będziński,śląskie,będzin będziński,,będzin będziński,władysława jagiełły 
42-506, Będzin (Grodziec),wojska polskiego będzin będziński,śląskie,będzin będziński,,będzin będziński,wojska polskiego 
42-506, Będzin (Grodziec),"wolności 80, 87-315(n), będzin będziński",śląskie,będzin będziński,,będzin będziński,"wolności 80, 87-315(n), "
42-506, Będzin (Grodziec),94-392(p),śląskie,,,,94-392(p)
42-500, Będzin,"wolności 1, 6-92 będzin będziński",śląskie,będzin będziński,,będzin będziński,"wolności 1, 6-92 "
42-500, Będzin (Warpie),wolska będzin będziński,śląskie,będzin będziński,,będzin będziński,wolska 
42-500, Będzin,pl. włodzimierza wójcika będzin będziński,śląskie,będzin będziński,,będzin będziński,pl. włodzimierza wójcika 
42-125, Biała (Biała Dolna),kłobuck kłobucki,śląskie,kłobuck kłobucki,,kłobuck kłobucki,
64-904, Biała,trzcianka czarnkowsko-,wielkopolskie,,trzcianka czarnkowsko-trzcianecki,trzcianka czarnkowsko-trzcianecki,trzcianka czarnkowsko-
64-904, Biała,trzcianecki,wielkopolskie,,,,trzcianecki
64-730, Biała,wieleń czarnkowsko-,wielkopolskie,,wieleń czarnkowsko-trzcianecki,wieleń czarnkowsko-trzcianecki,wieleń czarnkowsko-
64-730, Biała,trzcianecki,wielkopolskie,,,,trzcianecki
62-872, Biała,godziesze wielkie kaliski,wielkopolskie,godziesze wielkie kaliski,,godziesze wielkie kaliski,
62-580, Biała,grodziec koniński,wielkopolskie,grodziec koniński,,grodziec koniński,
74-500, Białęgi,chojna gryfiński,zachodniopomorskie,chojna gryfiński,,chojna gryfiński,
